Date.Time,Hobo,site,timepoint
2020-01-11 06:34:23,21.915000000000003,site2,timepoint2
2020-01-11 06:44:23,21.723888888888887,site2,timepoint2
2020-01-11 06:54:23,21.915000000000003,site2,timepoint2
2020-01-11 07:04:23,21.96277777777778,site2,timepoint2
2020-01-11 07:14:23,22.011111111111113,site2,timepoint2
2020-01-11 07:24:23,22.011111111111113,site2,timepoint2
2020-01-11 07:34:23,22.057777777777776,site2,timepoint2
2020-01-11 07:44:23,22.130000000000003,site2,timepoint2
2020-01-11 07:54:23,22.082222222222224,site2,timepoint2
2020-01-11 08:04:23,22.03388888888889,site2,timepoint2
2020-01-11 08:14:23,22.03388888888889,site2,timepoint2
2020-01-11 08:24:23,22.03388888888889,site2,timepoint2
2020-01-11 08:34:23,22.057777777777776,site2,timepoint2
2020-01-11 08:44:23,22.10611111111111,site2,timepoint2
2020-01-11 08:54:23,22.27388888888889,site2,timepoint2
2020-01-11 09:04:23,22.441111111111116,site2,timepoint2
2020-01-11 09:14:23,22.561111111111114,site2,timepoint2
2020-01-11 09:24:23,22.608888888888888,site2,timepoint2
2020-01-11 09:34:23,22.632777777777783,site2,timepoint2
2020-01-11 09:44:23,22.705000000000002,site2,timepoint2
2020-01-11 09:54:23,22.728888888888893,site2,timepoint2
2020-01-11 10:04:23,22.800000000000004,site2,timepoint2
2020-01-11 10:14:23,22.847777777777782,site2,timepoint2
2020-01-11 10:24:23,22.752777777777776,site2,timepoint2
2020-01-11 10:34:23,22.681111111111107,site2,timepoint2
2020-01-11 10:44:23,22.728888888888893,site2,timepoint2
2020-01-11 10:54:23,22.823888888888888,site2,timepoint2
2020-01-11 11:04:23,22.847777777777782,site2,timepoint2
2020-01-11 11:14:23,22.896111111111107,site2,timepoint2
2020-01-11 11:24:23,26.402222222222225,site2,timepoint2
2020-01-11 11:34:23,24.122222222222224,site2,timepoint2
2020-01-11 11:44:23,23.521111111111107,site2,timepoint2
2020-01-11 11:54:23,23.42388888888889,site2,timepoint2
2020-01-11 12:04:23,23.59277777777778,site2,timepoint2
2020-01-11 12:14:23,23.641111111111112,site2,timepoint2
2020-01-11 12:24:23,23.665,site2,timepoint2
2020-01-11 12:34:23,23.59277777777778,site2,timepoint2
2020-01-11 12:44:23,23.59277777777778,site2,timepoint2
2020-01-11 12:54:23,23.61722222222222,site2,timepoint2
2020-01-11 13:04:23,23.545,site2,timepoint2
2020-01-11 13:14:23,23.400000000000002,site2,timepoint2
2020-01-11 13:24:23,23.327777777777776,site2,timepoint2
2020-01-11 13:34:23,23.400000000000002,site2,timepoint2
2020-01-11 13:44:23,23.42388888888889,site2,timepoint2
2020-01-11 13:54:23,23.352222222222228,site2,timepoint2
2020-01-11 14:04:23,23.303888888888892,site2,timepoint2
2020-01-11 14:14:23,23.256111111111114,site2,timepoint2
2020-01-11 14:24:23,23.279999999999998,site2,timepoint2
2020-01-11 14:34:23,23.256111111111114,site2,timepoint2
2020-01-11 14:44:23,23.232222222222223,site2,timepoint2
2020-01-11 14:54:23,23.20777777777778,site2,timepoint2
2020-01-11 15:04:23,23.20777777777778,site2,timepoint2
2020-01-11 15:14:23,23.232222222222223,site2,timepoint2
2020-01-11 15:24:23,23.256111111111114,site2,timepoint2
2020-01-11 15:34:23,23.37611111111111,site2,timepoint2
2020-01-11 15:44:23,23.472222222222225,site2,timepoint2
2020-01-11 15:54:23,23.641111111111112,site2,timepoint2
2020-01-11 16:04:23,23.641111111111112,site2,timepoint2
2020-01-11 16:14:23,27.948888888888895,site2,timepoint2
2020-01-11 16:24:23,28.94111111111111,site2,timepoint2
2020-01-11 16:34:23,29.064999999999998,site2,timepoint2
2020-01-11 16:44:23,29.115,site2,timepoint2
2020-01-11 16:54:23,29.115,site2,timepoint2
2020-01-11 17:04:23,29.115,site2,timepoint2
2020-01-11 17:14:23,29.064999999999998,site2,timepoint2
2020-01-11 17:24:23,29.015000000000004,site2,timepoint2
2020-01-11 17:34:23,28.965,site2,timepoint2
2020-01-11 17:44:23,28.94111111111111,site2,timepoint2
2020-01-11 17:54:23,28.94111111111111,site2,timepoint2
2020-01-11 18:04:23,28.965,site2,timepoint2
2020-01-11 18:14:23,28.965,site2,timepoint2
2020-01-11 18:24:23,28.94111111111111,site2,timepoint2
2020-01-11 18:34:23,28.916111111111118,site2,timepoint2
2020-01-11 18:44:23,28.891111111111115,site2,timepoint2
2020-01-11 18:54:23,28.866111111111113,site2,timepoint2
2020-01-11 19:04:23,28.841111111111115,site2,timepoint2
2020-01-11 19:14:23,28.816111111111113,site2,timepoint2
2020-01-11 19:24:23,28.841111111111115,site2,timepoint2
2020-01-11 19:34:23,28.841111111111115,site2,timepoint2
2020-01-11 19:44:23,28.841111111111115,site2,timepoint2
2020-01-11 19:54:23,28.841111111111115,site2,timepoint2
2020-01-11 20:04:23,28.816111111111113,site2,timepoint2
2020-01-11 20:14:23,28.79111111111111,site2,timepoint2
2020-01-11 20:24:23,28.79111111111111,site2,timepoint2
2020-01-11 20:34:23,28.766111111111112,site2,timepoint2
2020-01-11 20:44:23,28.766111111111112,site2,timepoint2
2020-01-11 20:54:23,28.742222222222225,site2,timepoint2
2020-01-11 21:04:23,28.742222222222225,site2,timepoint2
2020-01-11 21:14:23,28.742222222222225,site2,timepoint2
2020-01-11 21:24:23,28.717222222222226,site2,timepoint2
2020-01-11 21:34:23,28.717222222222226,site2,timepoint2
2020-01-11 21:44:23,28.717222222222226,site2,timepoint2
2020-01-11 21:54:23,28.717222222222226,site2,timepoint2
2020-01-11 22:04:23,28.717222222222226,site2,timepoint2
2020-01-11 22:14:23,28.717222222222226,site2,timepoint2
2020-01-11 22:24:23,28.692222222222224,site2,timepoint2
2020-01-11 22:34:23,28.692222222222224,site2,timepoint2
2020-01-11 22:44:23,28.61722222222222,site2,timepoint2
2020-01-11 22:54:23,28.567777777777778,site2,timepoint2
2020-01-11 23:04:23,28.59277777777778,site2,timepoint2
2020-01-11 23:14:23,28.542777777777776,site2,timepoint2
2020-01-11 23:24:23,28.492777777777782,site2,timepoint2
2020-01-11 23:34:23,28.46777777777778,site2,timepoint2
2020-01-11 23:44:23,28.39388888888889,site2,timepoint2
2020-01-11 23:54:23,28.368888888888886,site2,timepoint2
2020-01-12 00:04:23,28.32,site2,timepoint2
2020-01-12 00:14:23,28.27,site2,timepoint2
2020-01-12 00:24:23,28.294999999999998,site2,timepoint2
2020-01-12 00:34:23,28.32,site2,timepoint2
2020-01-12 00:44:23,28.32,site2,timepoint2
2020-01-12 00:54:23,28.294999999999998,site2,timepoint2
2020-01-12 01:04:23,28.27,site2,timepoint2
2020-01-12 01:14:23,28.221111111111114,site2,timepoint2
2020-01-12 01:24:23,28.19611111111111,site2,timepoint2
2020-01-12 01:34:23,28.221111111111114,site2,timepoint2
2020-01-12 01:44:23,28.244999999999997,site2,timepoint2
2020-01-12 01:54:23,28.294999999999998,site2,timepoint2
2020-01-12 02:04:23,28.294999999999998,site2,timepoint2
2020-01-12 02:14:23,28.294999999999998,site2,timepoint2
2020-01-12 02:24:23,28.294999999999998,site2,timepoint2
2020-01-12 02:34:23,28.294999999999998,site2,timepoint2
2020-01-12 02:44:23,28.27,site2,timepoint2
2020-01-12 02:54:23,28.19611111111111,site2,timepoint2
2020-01-12 03:04:23,28.19611111111111,site2,timepoint2
2020-01-12 03:14:23,28.19611111111111,site2,timepoint2
2020-01-12 03:24:23,28.19611111111111,site2,timepoint2
2020-01-12 03:34:23,28.171111111111113,site2,timepoint2
2020-01-12 03:44:23,28.171111111111113,site2,timepoint2
2020-01-12 03:54:23,28.19611111111111,site2,timepoint2
2020-01-12 04:04:23,28.19611111111111,site2,timepoint2
2020-01-12 04:14:23,28.19611111111111,site2,timepoint2
2020-01-12 04:24:23,28.171111111111113,site2,timepoint2
2020-01-12 04:34:23,28.171111111111113,site2,timepoint2
2020-01-12 04:44:23,28.171111111111113,site2,timepoint2
2020-01-12 04:54:23,28.171111111111113,site2,timepoint2
2020-01-12 05:04:23,28.171111111111113,site2,timepoint2
2020-01-12 05:14:23,28.171111111111113,site2,timepoint2
2020-01-12 05:24:23,28.171111111111113,site2,timepoint2
2020-01-12 05:34:23,28.147222222222226,site2,timepoint2
