colony_id,partner,site,species,AFDW.mg.cm2,timepoint,DW.mg.cm2
POC-43,Sym,site1,Pocillopora,0.6581372945282901,timepoint4,176.61584396734844
POC-44,Host,site1,Pocillopora,2.733026652791777,timepoint4,84.4132550260004
POC-44,Sym,site1,Pocillopora,0.8885787412801509,timepoint4,99.71061254093212
POC-45,Host,site1,Pocillopora,3.3986533325729327,timepoint4,210.1989451983192
POC-45,Sym,site1,Pocillopora,1.7898999149971642,timepoint4,248.53730747400573
POC-47,Host,site1,Pocillopora,1.8309138654581696,timepoint4,131.02545871910405
POC-47,Sym,site1,Pocillopora,0.7263355903389218,timepoint4,158.17670535267956
POC-48,Host,site1,Pocillopora,2.4198338993533866,timepoint4,184.2002224915426
POC-48,Sym,site1,Pocillopora,1.1174392210389703,timepoint4,219.32634641909894
POC-50,Host,site1,Pocillopora,2.575112498770018,timepoint4,92.33512266363319
POC-50,Sym,site1,Pocillopora,0.7747473133835193,timepoint4,106.36173830879595
POC-52,Host,site1,Pocillopora,1.663458184830723,timepoint4,61.50762657971082
POC-52,Sym,site1,Pocillopora,0.6931075770127986,timepoint4,72.08318800933164
POC-53,Host,site1,Pocillopora,1.874601218211411,timepoint4,69.05349214720566
POC-53,Sym,site1,Pocillopora,0.4899525911234433,timepoint4,82.30493454654706
POC-57,Host,site1,Pocillopora,1.860566912466941,timepoint4,56.98559004070537
POC-57,Sym,site1,Pocillopora,0.6129330653754961,timepoint4,67.26797183835977
POC-68,Host,site1,Pocillopora,2.630239791263365,timepoint4,206.57764886909104
POC-68,Sym,site1,Pocillopora,0.994992026300274,timepoint4,251.32200768658578
POC-76,Host,NA,NA,NA,timepoint4,NA
POR-209,Host,site2,Porites,2.9497051148028115,timepoint4,212.90083996753845
POR-209,Sym,site2,Porites,1.0767728848284321,timepoint4,247.29883921560415
POR-214,Host,site2,Porites,7.421168927116642,timepoint4,549.7062219831456
POR-214,Sym,site2,Porites,1.9396236968601162,timepoint4,964.4989661299147
POR-216,Host,site2,Porites,2.468564266273856,timepoint4,142.01399789817427
POR-216,Sym,site2,Porites,2.1912979899894856,timepoint4,173.91750781773518
POR-221,Host,site2,Porites,5.987334852495535,timepoint4,686.8328409362712
POR-221,Sym,site2,Porites,2.4234450593434955,timepoint4,830.6714329878897
POR-224,Host,site2,Porites,-291.3290876385851,timepoint4,58.36076131837222
POR-224,Sym,site2,Porites,1.5205841472123047,timepoint4,428.95307918676485
